site,course_description,course_name,course_section,course_section_credit,course_section_start,course_section_end,school,course_id,institution
www.pratt.edu,"Covers practical procedures for building construction estimating of most major trades; analysis of factors and methods affecting construction costs; preparation of preliminary budget; and complete working estimates with quantities and costs of material, labor, and overhead. Framing, interior and exterior finishes, life safety and support equipment, packaging of budget, design, construction, bid estimates, contingencies, and bidding strategies are also covered.",17/FA - Construction Cost Analysis,CM-343-01,3.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Architecture,CM-343,Pratt Institutions
www.pratt.edu,"Provides students with knowledge of a range of advanced quantitative and qualitative analytical methods used in urban planning. This course covers basic survey methodology, advanced land use analysis, transportation planning methods, global and local economic trend analysis, methods in environmental and regional planning, advanced demography, program evaluation, policy analysis and policy evaluation. Readings include planning texts and case studies.",17/SP - Planning Methods II,PLAN-701-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,PLAN-701,Pratt Institutions
www.pratt.edu,"The purpose of this course is to introduce students with  some familiarity in the use of mapping techniques and data analysis to the most common processes used by professional planners who employ Geographic Information Systems (GIS)--a comuter-based technology to aid in the collection, analysis, output and communication of spatial information for display in multi-layered maps.  In addition to exploring the dynamics of the processes above, the course will focus its assignments on the development of a mapping project studying the land use, demographic, and/or socio economic trends of giving community in New York City.",Continuing Gis,,,,,School of School of Architecture,PLAN-702C,Pratt Institutions
www.pratt.edu,"Covers fundamental concepts and methods in inferential statistics and basic economics most widely used by urban planning professionals. In the first half of the semester, students cover such statistical techniques as elementary probability theory, decision-tree analysis, measures of central tendency and dispersion, hypothesis testing and various correlation techniques. Topics covered in economics include concepts of supply and demand, microeconomics and discounting costs and benefits over time. The course provides necessary preparation for later courses in demographics and public finance.",17/SU - Statistics: Fundamentals,PLAN-606B-01,2.00000,May 15 2017 ,Jun 16 2017  ,School of School of Architecture,PLAN-606B,Pratt Institutions
www.pratt.edu,"The course provides advanced instruction in geographic information systems (GIS) for urban planning applications.  Skills covered include database management for GIS, interactive mapping technologies, use of maps to track social and environmental data over space and time, geocoding, advanced cartography, open source computer mapping developments, and 3D applications of GIS.  Students develop the ability to analyze data spatially and use maps to represent commplex social, geological and environmental phenomena.",Advanced GIS,,,,,School of School of Architecture,PLAN-702B,Pratt Institutions
www.pratt.edu,"This course will build upon the skills, techniques, and ideas introduced in Black-and-White Photography and persist in developing the mechanical skills and visual awareness necessary to make engaging black-and-white photographs.",Intermediate Black and White Photography,,,,,School of School of Art,PHOT-106,Pratt Institutions
www.pratt.edu,"This course is the first in a project-and-seminar sequence in which students develop a sense of analysis, synthesis, assessment, and self-reflection regarding their own photographic production, the work of peers, and cultural production at large. This course focuses on approaches to project development and critique. Readings and discussions will examine the dissemination of images and ideas as it relates to the aesthetics and social significance of photography.",17/SP - Sophomore Critique,PHOT-205-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Art,PHOT-205,Pratt Institutions
www.pratt.edu,"Explores the basic concept of ""What is Historic Preservation?"" through a study of the route preservation has taken to reach the place it is today.  The course presents both the historic development of preservation and the theoretical and philosophical foundations of that development. It then raises some of the fundamental issues concerning the values, assumptions, and practice of historic preservation.",History and Theory of Preservation,,,,,School of School of Architecture,PR-640,Pratt Institutions
www.pratt.edu,"This is an introductory course in black-and-white photography. The course will introduce basic techniques, including small-camera operation, film exposure and development, and the contact printing, enlarging, and finishing of black-and-white photographs, as well as concept development and image content. Emphasis will be placed on the ability of students to master the technical skills necessary to begin developing their own artistic style and using the medium as a communicative tool.  Visual presentations will acquaint students with photographers who have influenced the development of the medium.",17/SP - Black and White Photography,PHOT-105-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Art,PHOT-105,Pratt Institutions
www.pratt.edu,"Through readings, lectures, and case studies, the course examines the ways in which ideas about security and insecurity are socially, politically, and ecologically construed with respect to public space, infrastructure, and cities and how the changing conceptualization of security has influenced the practices of designers, planners, and policymakers. The class reviews the extent to which the privatization of endangered public space has created a security creep that is slowly removing vital public plazas from public occupancy. The class examines contemporary design, planning, and policymaking that seek to create a safe public realm (often through the utilizat 0""., of new technologies).",17/SP - Public Security: Design and Debates,UPM-724-01,1.00000,Apr  4 2017 ,May 12 2017  ,School of School of Architecture,UPM-724,Pratt Institutions
www.pratt.edu,"This course examines the role that landscape architecture plays in public space and the elements that comprise the design palette of landscape architecture. The course first addresses the use of plant materials (softscape) by examining plant forms, general characteristics, and physical requirements. The course then addresses hardscape elements of the landscape, including the use of water as ornament, the ground plane, lighting, furnishings, and structures. The discussion of hardscape highlights use, aesthetic, construction, and maintenance considerations. The final part of the course addresses the composite landscape, in which hard and ljoftscape elements are synthesized.",17/SP - Landscape Architecture and Place,UPM-723-02,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,UPM-723,Pratt Institutions
www.pratt.edu,"The demonstration of professional competence is the capstone of the Urban Placemaklng and Management program. It demonstrates the rigorous integration of the four knowledge streams of the Urban Placemaking program: design and infrastructure, planning and policy, economics, and management. The demonstration involves the creation of a professional quality development proposal for the public realm with supporting graphic documentation of planning and deSign, planning and policy strategy, financial analysis, and management plan. The project includes Original research and can be a work-related project or extension of course-related work.",17/SP - Demonstration of Professional Competence,UPM-699-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,UPM-699,Pratt Institutions
www.pratt.edu,"This lab combines and applies the principles and practices of placemaking to a specific topical project involving an actual planning and design situation. The course considers phYSical, social, economic, cultural, and political factors to produce a viable design and ensure successful management of a specific public place. Students work as a team to accomplish that goal. The lab includes lectures, site visits, written reports, and input from official and community representatives and stakeholders.",17/SP - Placemaking Workshop,UPM-698-01,5.00000,Feb 16 2017 ,Apr 13 2017  ,School of School of Architecture,UPM-698,Pratt Institutions
www.pratt.edu,"This course surveys recent prominent theories of urban spatial design-ways of reading, understanding, and designing urban space-and asks: What works and what doesn\'t, and why? It is an introductory urban design course for students from a range of academic and professional backgrounds. Through seminar format discussions supported by visual media, intensive readings of progenitors\' original writings (and plans I designs), critiques by respected urban scholars, and case study analyses, the course exposes students to a wide variety of urban spatial theories and typologies.",17/SP - Urban Placemaking and Management,UPM-621-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,UPM-621,Pratt Institutions
www.pratt.edu,"The course examines and analyzes the following questions related to citizen participation and the design and planning of the public realm: How can community members plan their neighborhoods and cities? What tools can practitioners and activists use to engage local people in complex planning processes? What are the opportunities and limitations of engaging the public in planning? This course reviews approaches and tools of civic engagement. through a combination of academic and popular readings. guest speakers, videos, class discussion and activities, and research. The course reviews the theoretical and practical dilemmas of participation ,th rough cases,in\ufffd New Yerk and elsewhere.",17/FA - Civic Engagement,UPM-614-01,1.00000,Aug 28 2017 ,Sep 27 2017  ,School of School of Architecture,UPM-614,Pratt Institutions
www.pratt.edu,"This course provides an overview of the analytical, planning. implementation, and management skills that project managers use In the development of public spaces. The course examines the role of the project manager in the context of negotiation among the multiple urban constituencies who influence the development of the public realm. The course reviews financial concepts with an emphasis on the instruments for property management and capital projects, including budgets, leases, and contracts. It reviews project management tools for development for each stage of the project life cycle, including bidding, RFP process, approvais, procurement, contraptlng, leasing, project completion, maintenance, and operations. ","17/SP - Place, Politice, Public Management",UPM-613-02,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,UPM-613,Pratt Institutions
www.pratt.edu,"This course reviews the ways in which political expression and negotiation among constituencies occur in the public realm. The course examines the concept of the ""right to the city"" as a political ideal for the public realm and current trends such as privatization, surveillance, and securitization as expressions of social and economic conflict. The course reviews ""agents of change"" - artists, activists, the government, city planners, and architects - and their strategies for pursuing a public realm that advances an equitable and democratic society. These debates are central to analyzing the political dimensions of placemaking .","Democracy, Equity , and Public Space",,,,,School of School of Architecture,UPM-611,Pratt Institutions
www.pratt.edu,"This course focuses on the role of the public realm in generating economic benefits for cities and urban populations. The course applies the concept of place capital to a range of case studies of public spaces in cities throughout the world. ""Place capital"" refers to the process through which shared economic wealth is created through the creation and maintenance of public spaces in cities. This course explores the many economic benefits that vital public spaces -whether newly built or restored - generate for the local economy, as well as their wider social, environmental, health, and quality of life impacts.",17/SP - Economics of Place,UPM-612-01,1.00000,Apr  4 2017 ,May 12 2017  ,School of School of Architecture,UPM-612,Pratt Institutions
www.pratt.edu,The proseminar provides an overview of project management in urban development as a foundation for understanding the complexities of the development of the public realm in cities. The course also establishes a foundation of leadership and negotiation skills that students will use throughout the Urban Place making and Management program. The proseminar curriculum and assignments are designed to complement and build upon coursework in the Lab: Observation and Analysis of Public Space. Outputs of course aSSignments can and should as much as possible contribute to coursework in the lab.,Proseminar: Management,,,,,School of School of Architecture,UPM-602D,Pratt Institutions
www.pratt.edu,"The workshop introduces students to methods and techniques for analyzing the public realm in cities and to the understanding that the design of new public spaces and the development of public space management strategies depend on rigorous analyses of existing urban conditions and the needs and activity patterns of public space users. Students learn to observe public spaces through the use of statistical data collection. interviews, photography, and video. Students learn to analyze spatial characteristics Involving use, circulation, programming, servicing, landscape, etc. Students learn to use conceptual diagrams, mapping, and .architectural drawings (site plans, elev~tio{\\s, and sections) to communicate findings. ",17/FA - Lab:Analysis of Public Space,UPM-609-01,5.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Architecture,UPM-609,Pratt Institutions
www.pratt.edu,"This course introduces students to the key tools and methodologies used to plan, regulate, and manage urban space. The course situates urban planning practice today as an outcome of the legacy and evolution of planning as a profession in the United State since the late nineteenth century. The course emphasizes how politics and political power shape and limit what urban planning professionals can accomplish and influence how urban planning objectives are encoded in laws and regulations. The course examines the role of citizen partiCipation and the effectiveness of existing and potential structures for including public constituencies in the planning process. ",Proseminar: Planning and Policy,,,,,School of School of Architecture,UPM-602B,Pratt Institutions
www.pratt.edu,"This course provides an overview of real estate economics and finance and the relationship of economics to public space. The class first examines how financial value is created for property in cities, then reviews how market analysis is conducted, and lastly reviews how the value of a project is understood by both the public sector (economic impact) and the private sector (development pro forma). The course examines how the development process intersects with public realm development and the ways in which public space creates value. The curriculum and assignments complement coursework in the Lab: Observation and Analysis of Public Space.",17/FA - Proseminar: Economics,UPM-602C-01,1.00000,Oct  4 2017 ,Nov  1 2017  ,School of School of Architecture,UPM-602C,Pratt Institutions
www.pratt.edu,"This proseminar helps students develop observational, analytical, and projective abilities to understand and map three-dimensional urban form and how various urban systems and infrastructures influence the character and experience of the public realm. The course examines the multiple public and private actors who contribute to the city\'s public realm. Finally, the course introduces students to approaches and tools for the integration of urban and environmental systems to create ecologically sustainable cities. The proseminar curriculum and aSSignments complement coursework in the Lab.",17/FA - Proseminar: Design and Infrastructure,UPM-602A-01,1.00000,Nov  8 2017 ,Dec 13 2017  ,School of School of Architecture,UPM-602A,Pratt Institutions
www.pratt.edu,"This is a skills building course that will discuss strategies and tactics for advancing a policy agenda, including negotiation both in the context of building coalitions and in the context of engaging key decision-makers and stakeholders.  Effective negotiation is dependent upon developing the leverage necessary to get other stakeholders to the table  in a meaningful way.  As such, the course will spend a significant amount of time on issue analysis, organizing/coalition-building, and strategy development.",Policy Advocacy & Negotiation,,,,,School of School of Architecture,SES-764,Pratt Institutions
www.pratt.edu,"The Sustainable Business Studio course will introduce students to the concepts of Environmental Management Systems (EMS) and provide an opportunity for practical experience by working directly with a local New York City manufacturing company to design an EMS based on the ISO 14001 Standard.  In the initial weeks of the course, students will learn about the various approaches to EMS through lectures, guest presentations, and readings.  During this time, students will gain a more thorough understanding of ISO 14001 in preparation for consultation with the studio client.  The remaining two -thirds of the course will be dedicated to the design of an EMS (including a company environmental policy statement, assessed environmental impacts, permitting and compliance, set objectives and targets) and will culminate with an action plan to be delivered to the client for implementation",Sustainable Business Studio,,,,,School of School of Architecture,SES-840,Pratt Institutions
www.pratt.edu,"This course traces.the development of concepts of place and practices of ""placemaking"" and introduces students to major theoretical and primary sources relevant to this new field. The course takes an interdisciplinary approach, drawing from readings primarily in the history and theory of urbanism, but also in urban planning, architecture, the arts, anthropology, and sociology. Readings, lectures, workshop activities, and case stUdies illuminate the political, social, and ethical stakes of placemaking, to familiarize students with the history of urbanism as it relates to placemaking and to give students the historical and theoretical knowledge necessary to evaluate placemaking proposals.",17/FA - History & Theory of Public Places,UPM-601-01,2.00000,Aug 28 2017 ,Oct  2 2017  ,School of School of Architecture,UPM-601,Pratt Institutions
www.pratt.edu,"This skill building course will focus on the varying formats and voices common to political and advocay writing.  Students will gain exposure to effective writing techniques, appropriate voice and formats for editoials, policy briefs, letters of support, grants and formal testimony.",17/FA - Policy Writing,SES-763-01,1.00000,Oct  3 2017 ,Nov  7 2017  ,School of School of Architecture,SES-763,Pratt Institutions
www.pratt.edu,"Climate change will significantly alter the shoreline of global cities and the way we think about them.  The forces of sea level rise and coastal storm events will influence nearly every decision that gets made on the waterfront and has the potential to be a major impetus/catalysts for change.  These forces can be the lens by which we examine everything from wetlands protection to industrial development to open space.  Climate Change, a factor that is beyond the control of an individual city, will play an increasing role in deciding how  urban waterfronts are viewed, planned, designed, and used.  This course examines the challenges that cities will face and strategies they can use to prepare for the impacts of climate change.",17/SP - Cities on the Edge II: Coastal Climate Adaptation and Resiliency,SES-762B-01,1.00000,Feb 27 2017 ,Apr  3 2017  ,School of School of Architecture,SES-762B,Pratt Institutions
www.pratt.edu,"Whether it\'s New York, London, Doha, Or Shanghai, global waterfront cities are increasingly influenced by their peers.  For global waterfront cities, decisions about the urban environment radiate out from their own boundaries and influence how other cities view themselves.  Globalization will significantly alter the shoreline of our city and the way we think about them.  Globalization will influence nearly every decision that gets made on the waterfront and has the potential to be major impetus/catalysts for change.  The class will walk through the challenges and solutions of addressing globalization by thinking through the types of challenges that planners, city managers, and public officials must address in preparing for the impacts and pressures of globalization.",Cities on the Edge I: Waterfront Planning in Global Cities,,,,,School of School of Architecture,SES-762A,Pratt Institutions
www.pratt.edu,"This course will explore the place and potential of urban agriculture in environmental planning, management, and development.  Topics to  be covered included fundamentals of a sustainable food system, horticultural principals and techniques, the place of food systems in urban planning, how urban agriculture can be accommodated within the urban built fabric, and contemporary examples of community gardening and urban agriculture locally and in other parts of the country.  The principles of stormwater and solid waster management, nutrient and water cycles, and sustainable material sourcing will be explored as well.",Sustainable Urban Agriculture,,,,,School of School of Architecture,SES-762,Pratt Institutions
www.pratt.edu,"This course focuses on the various uses of urban waterfronts and wetlands, including both the upland and the waterways. The course will examine shoreline and water quality conditions, and will consider waterfront developments, working waterfronts and natural waterfronts. The class will concentrate on NYC and New Jersey, examining the environmental, economic and social equity issues involved in waterfront planning, development and preservation.",17/SU - Waterfront & Wetland Planning Principles/Best Practices,SES-761B-01,1.00000,Jun 26 2017 ,Jul 24 2017  ,School of School of Architecture,SES-761B,Pratt Institutions
www.pratt.edu,"Focusing on the NYC Watershed, we will look at land uses, sustainable stormwater management practices, and geology within the watershed and examines how they are directly related to the quantity and quality of water ""produced"" in these areas.",17/FA - Watershed Planning,SES-761A-01,3.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Architecture,SES-761A,Pratt Institutions
www.pratt.edu,"Taught by a practicing architect. this course is based upon the growing need to understand the details and reasoning behind rehabbing the existing building stock. and how to address ""green"" design within the content of renovation at several scales and scopes. The course of study will be paired with a cutting edge computer deSign tool. Seifara. developed to help designers incorporate sustainable approaches and explore deep synergistic outcomes at the early conceptual stage of design",Greening Existing Building,,,,,School of School of Architecture,SES-755,Pratt Institutions
www.pratt.edu,"This course will build on the experience of SES 808A Green Infrastructure Research in analysis of natural systems and their ability to manage stormwater.  It is designed to help students formulate meaningful research questions, and demonstrate the knowledge to apply green infrastructure innovations to the urban environment.  The main purpose is to advance knowledge of basic stormwater management to develop innovative concepts fo performance communication, monitoring and maintenance.",17/SP - Financing Green Infrastructure,SES-740-01,1.00000,Apr 11 2017 ,May 12 2017  ,School of School of Architecture,SES-740,Pratt Institutions
www.pratt.edu,"The primary focus of this design/build course is to provide students with the opportunity to not only design but to understand the techniques of contruction and implementation, gaining valuable experience and knowledge of the practical aspects of green infrastructure design. The course will contain, in equal parts, learning and design modules with weekend site visits as a requirement for the build focus.",Green Infrastructure Design/Build Principles/Best Practices,,,,,School of School of Architecture,SES-739,Pratt Institutions
www.pratt.edu,"If the Demonstration of Professional Competence is not completed in the initial semesters, students can continue working in EMS-700 for no more than five semesters.",17/SU - Dem. Prof. Competence in Progress,SES-700-01,0.00000,May 15 2017 ,Jul 21 2017  ,School of School of Architecture,SES-700,Pratt Institutions
www.pratt.edu,"This course examines the unique nature of energy use and planning in urban areas. It introduces students to key issues associated with local energy planning: how cities use energy; the sources of this energy; what alternatives exist; the delivery systems that get energy to cities; the institutional, market and regulatory environment in which urban energy planners operate; and what steps cities are taking to better manage their energy use.",17/SP - Urban Energy management,SES-635C-01,1.00000,Apr  5 2017 ,May 12 2017  ,School of School of Architecture,SES-635C,Pratt Institutions
www.pratt.edu,"A demonstration fulfilling an approved scope of work showing the analytical capacities and creative skills expected of a professional in this field serves as a capstone of the program. The demonstration can involve original research, a work-related project or an extension of course-related work.",17/SU - Demonstration of Professional Competence,SES-660A-01,2.00000,May 15 2017 ,Jul 21 2017  ,School of School of Architecture,SES-660A,Pratt Institutions
www.pratt.edu,"This course examines the environmental planning inplications of various practices and technologies relating to soild waste management and prepares planners and architects to identify and promote more sustainable ways of managing soild waste. Particular emphasis is placed on new innovations in solid waste management including recycling, reuse and reduction.",Solid Waste Management,,,,,School of School of Architecture,SES-635A,Pratt Institutions
www.pratt.edu,"This course examines the environmental planning implications of practices and technologies relating to water management, and prepares planners and architects to identify and promote more sustainable practices for managing both drinking water and wastewater. Particular emphasis is placed on the science of water and on recent innovations in water quality management including bioremediation, watershed planning and a natural waste water systems.",17/SP - Environmental Management: Water Quality,SES-635B-01,1.00000,Feb 22 2017 ,Mar 29 2017  ,School of School of Architecture,SES-635B,Pratt Institutions
www.pratt.edu,"This course introduces students to the theory and methodology and underlying life cycle analysis, a systematic set of procedures for compiling and examining the inputs and outputs of the materials and energy and the associated environmental impacts directly attributable to the functioning of a product or service system throughout its life cycle. Students gain practical knowledge by applying the technique to a product or system of their choice.",17/SP - Life Cycle Analysis,SES-634C-01,1.00000,Feb 21 2017 ,Mar 28 2017  ,School of School of Architecture,SES-634C,Pratt Institutions
www.pratt.edu,"Global Warming and climate change represent among the grestest challenges to global well-being and security and to the future of humans on Earth. This course will examine the science and history of this crisis with a focus on the various policy initiatives and actions being taken globally and locally to both mitigate and prepare for the impacts of climate change.  The class will look at case studies from different cities around the world and pay particular attention to New York\'s PlaNYC, which sets the goal of 30% resuction from current greenhouse gas emissions by 2030.",Climate Change & Cities,,,,,School of School of Architecture,SES-634A,Pratt Institutions
www.pratt.edu,"Sustainability indicators measure progress toward a sustainable economy, society and environment. The Ecological Footprint Analysis is a type of sustainability indicator that measures how much biologically productive land and water area an individual, a city, a country, or a region requires to produce the resources it consumes and to absorb the waste it regenerates. This course introduces the principles underlying sustainability indicators, including Ecological Footprint Analysis, and will offer students hands-on experience with these tools.",17/SP - Sustainability Indicators Footprint,SES-634B-01,1.00000,Apr  4 2017 ,May 12 2017  ,School of School of Architecture,SES-634B,Pratt Institutions
www.pratt.edu,"Examines the critical, environmental, ecological, geological, economic, social and health-related components that must be considered as part of the environmental review process under national, state and municipal environmental quality review laws. The tools and techniques for conducting assessments, the different models for interpreting data and the use of mitigating measures are presented through case analyses.",17/SP - Environmental Assessment: Impact Statements,SES-633B-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,SES-633B,Pratt Institutions
www.pratt.edu,"This course is the culmination academic experience of the Real Estate Practice program.  The course integrates the tools and methodologies developed throughout the program.  Each student creates an original, professional quality real estate development proposal that demonstrated an application of the ""triple bottom line"" approach.  Students work with their advisors over the semester to create a comprehensive development proposal package that includes site description, development narrative, contextual and urban design analysis, market analysis and comps, development program, site plan, public realm plan, circulation and parking plan, infrastructure plan, phasing strategy, and a discounted cash flow analysis pro forma.",Demonstration of Professional Competence,,,,,School of School of Architecture,REP-659,Pratt Institutions
www.pratt.edu,"This course introduces the student to project management theories and best practices from the concept phase through post occupancy, to include budgeting and cost estimation, project delivery systems, programming and space planning, selection the design tem, and managing construction and occupancy.  Techniques for cost analysis, scheduling and procedures for contraction, construction coordination and the control of change orders are reviewed.  The impact of scheduling on contractor claims is studied along with management reporting and feedback.",Project Management,,,,,School of School of Architecture,REP-632,Pratt Institutions
www.pratt.edu,"Provides a basic framework in environmental law by surveying critical cases, policy decisions and legal history. Regional, national and international issues are addressed with the focus on how inter-jurisdictional problems are resolved. The relationship between legal, constitutional, and political systems in different localities is also considered.",17/SP - Environmental Law,SES-633A-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,SES-633A,Pratt Institutions
www.pratt.edu,For administrative use only.,Professional Electives/Transfer,,,,,School of School of Architecture,PROF-ELEC,Pratt Institutions
www.pratt.edu,"This course will consider contemporary environmental economics, applying principles of equity, efficiency and effectiveness to environmental issues.  The course will consider several analytical tools (e.g. marginal analysis, cost-benefit analysis, externalities, full-cost picing, incentives, public goods, risk and alternatives assessment and equity analysis).  We will study when markets work and when they don\'t.  Then we will consider various policies that the public sector can use to make markets work, and when they have to be bypassed all together.",17/SP - Environmental Economics,SES-632-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Architecture,SES-632,Pratt Institutions
www.pratt.edu,"The course examines the sources of debt and equity capital and the interplay of capital real estate valuation.   It reviews the instruments, terms, and vehicles for delivering capital to finance real estate development and investment.  The course analyzes public and private debt and equity and their influence on underwriting and evaluation real estate development.  The course addresses investment metrics  such as risk, land value, cap rates and rates of return, as well as the basic structure of bond financing, tax increment financing, gap financing, and other financial incentives.",Real Estate Valuation and Capital Markets,,,,,School of School of Architecture,REP-607,Pratt Institutions
www.pratt.edu,"The course integrates financial, analytical, and policy tools from other Real Estate Practice coursework to address an actual neighborhood for the practicum\'s ""client""-a community board, development organization, or neighborhood group.  Students first produce a comprehensive land use and feasibility analysis of the study area, then identify a range of neighborhood-wide opportunities related to land use and zoning, soft sites, and urban design.  Lastly, students create development proposals for the soft sites, generation schematic-level site plans and pro forma financial analyses.  The coursework emphasizes the application of the three E\'s of sustainable development-equity, economy, and ecology-and their integration into development proposals.",Urban Redevelopment Practicum,,,,,School of School of Architecture,REP-609,Pratt Institutions
www.pratt.edu,"Examines a range of strategies for planning communities that minimize the use of non-renewable energy sources, maximize recycling and promote healthy living and working environments. Its premise is that comprehensive approaches that consider both human welfare and resource limitations at the local and global levels are required in order to build and maintain sustainable communities. Strategies examined include sustainable production, transportation, infrastructure and distribution policies. Examples are drawn from current community development and preservation practice in urban, metropolitan and rural areas. The course analyzes public policies and private practices relating to the urban environment, and investigates methods for creating a more sustainable future.",17/FA - Sustainable Communities,SES-631-01,3.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Architecture,SES-631,Pratt Institutions
www.pratt.edu,For administrative use only. Used to indicate transfer credit for a non-core Architecture History/Theory course without an equivalent.,Architecture History Transfer,,,,,School of School of Architecture,ARCH-HIST,Pratt Institutions
www.pratt.edu,For administrative use only. Used to indicate transfer credit to be applied toward a student\'s architecture electives requirement only.,Architecture Elective Transfer,,,,,School of School of Architecture,ARCH-ELEC,Pratt Institutions
www.pratt.edu,"This is an introduction to different theoretical approaches to urban design, using both historical and contemporary examples.",17/SU - Urban Design Theory,UD-993-01,3.00000,May 31 2017 ,Aug 11 2017  ,School of School of Architecture,UD-993,Pratt Institutions
